ASIN,product_name,brand,FBA_label,amazon_choice,price_in_US_dollars,unit_price_flag,unit_price_USdollars,unit_price_unit,top_sales_rank,subscribe_flag,shipping_weight_in_ounces,answered_questions,rating_avg,rating_nums,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,subscribe_5_unitprice,subscribe_5_unit,subscribe_15_unitprice,subscribe_15_unit,unit_price2,unit_price,FBA,productDescription,product_image_urls,product_url,subscribe,subscribe_price_5per,shipping_weight,subscribe_price_15per_unit_price,subscribe_price_5per_unit_price,subscribe_price_15per_USdollars,subscribe_price_5per_USdollars
B007XR7GKK,Nescaf? Collection Alta Rica 100 g (Pack of 3),Nescafé,Third Party,False,49.87,True,166.23,kg,2652.0,False,46.4,0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,,,,,166.23 / kg,($166.23 / kg),Ships from and sold by Spellbound From England.,,https://m.media-amazon.com/images/I/81P7EF7F94L._AC_UL320_.jpg,https://www.amazon.com/Nescaf-Collection-Alta-Rica-Pack/dp/B007XR7GKK/ref=sr_1_926?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-926&ts_id=2251594011&psc=1,,,2.9 pounds,nan,nan,,
B007YHXW6Q,Maxwell House Instant 8 Oz,MAXWELL HOUSE,Third Party,False,39.94,True,6.66,Count,2383.0,False,62.4,0,4.4,3.0,0.0,0.0,0.0,0.63,0.37,,,,,6.66 / Count,($6.66 / Count),Ships from and sold by Penelopes Pitshoppe.,6 jars of instant coffee,https://m.media-amazon.com/images/I/31PAQHZiTaL._AC_UL320_.jpg,https://www.amazon.com/Maxwell-Original-Instant-Coffee-Plastic/dp/B007YHXW6Q/ref=sr_1_2318?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-2318&ts_id=2251594011&psc=1,,,3.9 pounds,nan,nan,,
B007Z1XRE8,"Jacobs 3in1 Ice Coffee Instant coffee, 3-pack, 3 x 10 cup servings",JACOBS,Third Party,False,39.9,True,39.9,Count,2483.0,False,22.4,0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,39.90 / Count,($39.90 / Count),Ships from and sold by EuroHomeDesignz.,"Beverage powder with soluble bean coffee, coffee whitener and sugar. Ice cold station wagon. With the practical Jacobs 3in1 Sticks type Ice Coffee you can always enjoy delicious ice coffee. The handy sticks contain a blend of instant coffee, creamer and sugar, so you just need to add cold water or cold milk. With a few ice cubes, the ice-coffee is a refreshing treat that provides plenty of energy for the day. Thanks to the practical portioning, the creamy drink is also ideal for on the go.",https://m.media-amazon.com/images/I/81juxJqW2HL._AC_UL320_.jpg,https://www.amazon.com/Jacobs-Coffee-Instant-coffee-servings/dp/B007Z1XRE8/ref=sr_1_1110?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-1110&ts_id=2251594011&psc=1,,,1.4 pounds,nan,nan,,
B007Z9V4RM,Folgers Coffee SMU 06930,J.M. SMUCKER CO.,Third Party,False,27.65,True,0.73,Ounce,4602.0,False,16.0,0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.73 / Ounce,($0.73 / Ounce),Ships from and sold by MyOfficeInnovations.,"100% mountain grown. Smooth, rich, consistent flavor.",https://m.media-amazon.com/images/I/81fUB-9zAqL._AC_UL320_.jpg,https://www.amazon.com/J-M-SMUCKER-CO-06930-FOL06930/dp/B007Z9V4RM/ref=sr_1_3582?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-3582&ts_id=2251594011&psc=1,,,1 pounds,nan,nan,,
B007ZBG7WM,"Ajinomoto Birdy Extra Strong 3 in 1 Instant Coffee, 27-Count",Ajinomoto,FBA,False,15.55,True,0.58,Count,2419.0,False,6.4,0,3.5,2.0,0.0,0.0,0.5,0.5,0.0,,,,,0.58 / Count,($0.58 / Count),Sold by SmartFast888 and Fulfilled by Amazon.,Full flavor ... until the last drop. Robusta coffee beans are the best choice. Processed roasted with specific tips. Blend. Until the coffee taste. Roasted coffee and smell fragrant.,https://m.media-amazon.com/images/I/71Bs0MCroxL._AC_UL320_.jpg,https://www.amazon.com/Ajinomoto-Strong-Instant-Coffee-27-Count/dp/B007ZBG7WM/ref=sr_1_1381?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-1381&ts_id=2251594011&psc=1,,,6.4 ounces,nan,nan,,
B007ZI1MFC,BRU Instant Coffee 200 Gm (Pack of 3),BRU,Third Party,False,56.79,True,18.93,Item,3112.0,False,,0,,,0.0,0.0,0.0,0.0,0.0,,,,,18.93 / Item,($18.93 / Item),Ships from and sold by Cybermars Inc.,"Bru coffee is an exquisite blend of coffee and chicory whose heady aroma, golden brown froth and distinct flavour linger long after you finish a cup. Bru, from the hindustan unilever, is present across the conventional coffee, instant coffee, premix and vending segramsents with various product offerings. Over the years the brand has grown consistently to become india’s largest coffee brand. While bru instant is the single largest brand in the instant coffee category, bru green label roast and ground is the largest brand in the conventional coffee segramsent. Bru cappuccino and ice cappuccino, introduced in 2005 and 2007 respectively are innovative products specially designed for the cafe going youth to enjoy a great cup of cappuccino even at home.",https://m.media-amazon.com/images/I/31FZGYyOvUL._AC_UL320_.jpg,https://www.amazon.com/BRU-Instant-Coffee-200-Pack/dp/B007ZI1MFC/ref=sr_1_1492?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-1492&ts_id=2251594011&psc=1,,,nan,nan,nan,,
B0080Y8I7U,Nescafe Extra Foam Decaf Cappuccino 10 pc.,Nescafé,FBA,False,12.99,True,1.3,Count,589.0,False,6.4,10,3.8,71.0,0.18,0.06,0.1,0.07,0.6,,,,,1.30 / Count,($1.30 / Count),Sold by FRENCH MY WORLD and Fulfilled by Amazon.,Nescafe Extra Foam Decaf Cappuccino,https://m.media-amazon.com/images/I/91mMMTyT4+L._AC_UL320_.jpg,https://www.amazon.com/Nescafe-Extra-Foam-Decaf-Cappuccino/dp/B0080Y8I7U/ref=sr_1_1233?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-1233&ts_id=2251594011&psc=1,,,6.4 ounces,nan,nan,,
B0083G07X8,Nescafe - Cafe Menu - Cappuccino Skinny - 145g,Nescafé,Third Party,False,14.49,True,2.28,Ounce,2231.0,False,8.5,0,3.2,8.0,0.35,0.0,0.2,0.0,0.45,,,,,2.28 / Ounce,($2.28 / Ounce),Ships from and sold by Simply British Ltd.,Nescafe - Cafe Menu - Cappuccino Skinny - 145g,https://m.media-amazon.com/images/I/51R2IT3Q5mL._AC_UL320_.jpg,https://www.amazon.com/Nescafe-Cafe-Menu-Cappuccino-Skinny/dp/B0083G07X8/ref=sr_1_3312?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-3312&ts_id=2251594011&psc=1,,,8.5 ounces,nan,nan,,
B0083Q3ZIM,"Ajinomoto Birdy Super Creamy 3 in 1 Instant Coffee, 27-Count",Ajinomoto,FBA,False,15.19,True,0.56,Count,3119.0,False,16.0,0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,,,,,0.56 / Count,($0.56 / Count),Sold by Firstshop07-11 and Fulfilled by Amazon.,Instant Coffee Super Creamy 3 in 1 Coffee Mix Powder 0.62 Oz X 27 Stick.,https://m.media-amazon.com/images/I/71nN0--GQsL._AC_UL320_.jpg,https://www.amazon.com/Ajinomoto-Creamy-Instant-Coffee-27-Count/dp/B0083Q3ZIM/ref=sr_1_1150?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-1150&ts_id=2251594011&psc=1,,,1 pounds,nan,nan,,
B00840XOJM,White Coffee (Sun Soya) 3 in 1 Pre-mixed White Coffee,Sun Soya,FBA,False,19.99,True,1.26,Ounce,2989.0,False,15.5,0,,,0.0,0.0,0.0,0.0,0.0,,,,,1.26 / Ounce,($1.26 / Ounce),Sold by gobaliku and Fulfilled by Amazon.,3 in 1 Pre-mixed white coffe,https://m.media-amazon.com/images/I/51MdlAc+duL._AC_UL320_.jpg,https://www.amazon.com/White-Coffee-Sun-Soya-Pre-mixed/dp/B00840XOJM/ref=sr_1_2386?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-2386&ts_id=2251594011&psc=1,,,15.5 ounces,nan,nan,,
B008470OUW,Jacobs Latte Macchiato (Pack of 5),Tassimo,Third Party,False,89.95,False,,,3032.0,False,121.6,0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,,7.6 pounds (,Ships from and sold by Euro Coffee Trading.,,https://m.media-amazon.com/images/I/31Vs8EiwUaL._AC_UL320_.jpg,https://www.amazon.com/Jacobs-Latte-Macchiato-Pack-5/dp/B008470OUW/ref=sr_1_3364?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-3364&ts_id=2251594011&psc=1,,,7.6 pounds,nan,nan,,
B0084ENEY8,Nescafe Espresso Instant Coffee 2 Jars X 3.5oz/100g,Nescafé,Third Party,False,29.68,True,4.24,Ounce,606.0,False,27.2,8,4.8,125.0,0.04,0.0,0.01,0.04,0.91,,,,,4.24 / Ounce,($4.24 / Ounce),Ships from and sold by Hawthorn Health Direct.,Nescafe Instant Espresso x2 Jars,https://m.media-amazon.com/images/I/41mLNAz9erL._AC_UL320_.jpg,https://www.amazon.com/Nescafe-Espresso-Instant-Coffee-3-5oz/dp/B0084ENEY8/ref=sr_1_278?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-278&ts_id=2251594011&psc=1,,,1.7 pounds,nan,nan,,
B0085000BG,"Douwe Egberts Pure Indulgence Instant Coffee in Jar, Dark Roast, 7.05-Ounce, 200 gram",Douwe Egberts,FBA,False,22.5,True,3.21,Ounce,155.0,False,25.6,21,4.1,351.0,0.12,0.02,0.09,0.13,0.64,,,,,3.21 / Ounce,($3.21 / Ounce),Sold by TheNewMall and Fulfilled by Amazon.,"Douwe Egberts Pure Indulgence Freeze-Dried Instant coffee in glass jar Net 7oz/200g Douwe Egberts Pure Indulgence is a blend of the finest beans. These beans have been roasted using Douwe Egberts expertise to give a rich and aromatic flavor suitable for drinking at any time of the day. This blend is a darker roast than Douwe Egberts Pure Gold with a richer taste and full aroma. The Douwe Egberts coffee tradition goes back to 1753, so more than 250 years of expertise have gone into creating this luxurious instant coffee. The Douwe Egberts seal and signature is an assurance of constant quality and high standards. Dark Roast Full Strength",https://m.media-amazon.com/images/I/81JFqbAoydL._AC_UL320_.jpg,https://www.amazon.com/Douwe-Egberts-Indulgence-Instant-7-05-Ounce/dp/B0085000BG/ref=sr_1_87?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-87&ts_id=2251594011&psc=1,,,1.6 pounds,nan,nan,,
B00851DJV8,"Premium Instant-Coffee Single-Serve Sticks, Original Blend, .06oz, 80/Box",Nestle Coffee-mate,Amazon product,False,12.36,True,12.36,Count,629.0,False,8.0,0,4.8,9.0,0.0,0.0,0.0,0.21,0.79,,,,,12.36 / Count,($12.36 / Count),Ships from and sold by Amazon.com.,"Premium Instant-Coffee Single-Serve Sticks, Original Blend, .06oz, 80/Box",https://m.media-amazon.com/images/I/91O-0Pq+UrL._AC_UL320_.jpg,https://www.amazon.com/Premium-Instant-Coffee-Single-Serve-Sticks-Original/dp/B00851DJV8/ref=sr_1_117?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-117&ts_id=2251594011&psc=1,,,8 ounces,nan,nan,,
B00852ZM7Q,gold choice instant cafe mocha coffee (mocha coffee premix / 12-ct) - 10.58oz,Gold Choice,Third Party,False,15.97,False,,,1533.0,False,13.4,0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,10.6 ounces,Ships from and sold by TAOServices.,Gold Choice Café Mocha Coffee Instant Drink Mix,https://m.media-amazon.com/images/I/91sd6F9-XwL._AC_UL320_.jpg,https://www.amazon.com/choice-instant-mocha-coffee-premix/dp/B00852ZM7Q/ref=sr_1_623?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-623&ts_id=2251594011&psc=1,,,13.4 ounces,nan,nan,,
B0085FSED2,Namyang Arabica Gold Label  Instant Coffee Mix 1 Giftpack (100 sticks),French Cafe,FBA,False,23.5,True,23.5,Count,247.0,False,48.0,3,4.6,34.0,0.0,0.06,0.06,0.09,0.79,,,,,23.50 / Count,($23.50 / Count),"Sold by OTG New York, INC and Fulfilled by Amazon.",One stick has granule coffee and sugar and milk powder.,https://m.media-amazon.com/images/I/61lj3B0pxSL._AC_UL320_.jpg,https://www.amazon.com/Namyang-Arabica-Instant-Coffee-Giftpack/dp/B0085FSED2/ref=sr_1_379?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-379&ts_id=2251594011&psc=1,,,3 pounds,nan,nan,,
B0085H9YHK,Nescafe Instant Coffee Gold 100g (2-pack),Nestle,Third Party,False,16.15,True,2.29,Ounce,179.0,False,27.2,16,4.4,301.0,0.06,0.04,0.06,0.11,0.74,,,,,2.29 / Ounce,($2.29 / Ounce),Ships from and sold by Better Shopping.,"Nescafe Instant Coffee Original. The aroma and taste of Nescafe instant coffee is just the best. It is pure coffee, without any chicory. For your first cup of coffee in the morning it has to be nescafe instant.",https://m.media-amazon.com/images/I/61PfDMubrJL._AC_UL320_.jpg,https://www.amazon.com/Nescafe-Instant-Coffee-Gold-2-pack/dp/B0085H9YHK/ref=sr_1_175?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-175&ts_id=2251594011&psc=1,,,1.7 pounds,nan,nan,,
B0085RD0BQ,Tchibo Exclusive Instant Coffee 7oz/200g,Tchibo,Third Party,False,13.47,True,1.92,Ounce,1319.0,False,16.0,0,4.9,12.0,0.0,0.0,0.0,0.09,0.91,,,,,1.92 / Ounce,($1.92 / Ounce),Ships from and sold by Enjoy Better Coffee.,"Tchibo Exclusive Instant Coffee offers the ultimate in true coffee enjoyment. Treat yourself and your loved ones to an ""exclusive"" taste experience! To create this outstanding blend, Tchibo coffee experts carefully choose the best Arabica beans and round them out with full-bodied Robusta beans. Each coffee variety is roasted separately to enhance their distinct flavors. Its delicate aroma and harmonic taste make it a special pleasure. Savor Tchibo's expertise and passion for coffee in every cup of Tchibo Exclusive Instant.",https://m.media-amazon.com/images/I/41buEkcwXZL._AC_UL320_.jpg,https://www.amazon.com/Tchibo-Exclusive-Instant-Coffee-200g/dp/B0085RD0BQ/ref=sr_1_491?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-491&ts_id=2251594011&psc=1,,,1 pounds,nan,nan,,
B0086JFS72,Caffe D' Amore Mocha Gouremt Beverage Mix 28 oz.,Caffe d'Amore,,False,26.62,False,,,2079.0,False,30.4,0,,,0.0,0.0,0.0,0.0,0.0,,,,,,1.75 pounds,,Zero grams Trans Fat per serving. No Hydrogenated Oils.,https://m.media-amazon.com/images/I/81luMXVEeDL._AC_UL320_.jpg,https://www.amazon.com/Caffe-Amore-Mocha-Gouremt-Beverage/dp/B0086JFS72/ref=sr_1_3494?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-3494&ts_id=2251594011&psc=1,,,1.9 pounds,nan,nan,,
B0087X8VV2,2 PACK - Nescafe Blend & Brew 3 in 1 Original 56 Sticks total,Nescafé,FBA,False,20.95,True,0.35,Count,151.0,True,41.6,8,4.3,226.0,0.11,0.02,0.03,0.15,0.69,0.35, Count,0.33, Count,0.35 / Count,($0.35 / Count),Auto-deliveries sold by First SuperMarket and Fulfilled by Amazon,"20g x 28, most popular 3 in 1 instant coffee.",https://m.media-amazon.com/images/I/41e-PR5NqaL._AC_UL320_.jpg,https://www.amazon.com/PACK-Nescafe-Blend-Original-Sticks/dp/B0087X8VV2/ref=sr_1_347?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-347&ts_id=2251594011&psc=1,Subscribe & Save:,$20.95,2.6 pounds,0.33 /  Count,0.35 /  Count,19.9,20.95
B00886GO62,INSTANT COFFEE MIXED GINSENG 20 G. (Pack 15 sachets),Gold Choice,Third Party,False,14.95,False,,,2325.0,False,,0,3.7,3.0,0.0,0.43,0.0,0.0,0.57,,,,,,,Ships from and sold by TAOServices.,Gold Choice Instant Coffee Mixed Ginseng 20g. Pack 15sachets,https://m.media-amazon.com/images/I/51GMfocJhKL._AC_UL320_.jpg,https://www.amazon.com/INSTANT-COFFEE-MIXED-GINSENG-sachets/dp/B00886GO62/ref=sr_1_1436?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-1436&ts_id=2251594011&psc=1,,,nan,nan,nan,,
B008A0AL0G,"Trung Nguyen - G7 3 In 1 Instant Coffee - 22 Sachets | Roasted Ground Coffee Blend with Creamer and Sugar, Suitable for Most Coffee Brewing Methods, (16gr/sachet)",Trung Nguyên,Third Party,False,5.99,True,5.99,Count,403.0,False,14.4,6,4.3,167.0,0.06,0.07,0.06,0.18,0.63,,,,,5.99 / Count,($5.99 / Count),Ships from and sold by Worldwide Source.,,https://m.media-amazon.com/images/I/71SVEvFq4FL._AC_UL320_.jpg,https://www.amazon.com/Instant-Coffee-Sachets-11-3-320g/dp/B008A0AL0G/ref=sr_1_382?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-382&ts_id=2251594011&psc=1,,,14.4 ounces,nan,nan,,
B008AK8IU6,Inka Roasted Grain Coffee with Magnesium (100g/3.53oz),Inka,Third Party,False,13.99,True,3.96,Ounce,523.0,False,0.3,0,3.2,6.0,0.19,0.19,0.17,0.15,0.31,,,,,3.96 / Ounce,($3.96 / Ounce),Ships from and sold by EuroHomeDesignz.,"Inka Roasted Grain Coffee with Magnesium is a mixture of rye, barley, chicory, and sugar beet containing no artificial ingredients or other additives imported directly from Poland. Store in a cool and dry place.",https://m.media-amazon.com/images/I/51jNvbrc0tL._AC_UL320_.jpg,https://www.amazon.com/Inka-Roasted-Coffee-Magnesium-3-53oz/dp/B008AK8IU6/ref=sr_1_2316?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-2316&ts_id=2251594011&psc=1,,,0.3 ounces,nan,nan,,
B008BRZKTA,Kenco Millicano Whole Bean Instant Coffee (85g),Kenco,Third Party,False,10.99,True,3.67,Ounce,2245.0,False,4.5,0,3.6,22.0,0.23,0.0,0.16,0.19,0.42,,,,,3.67 / Ounce,($3.67 / Ounce),Ships from and sold by sentogo.,"Rainforest Alliance Certified. A blend of instant coffee and roast and ground coffee Millicano is the very first Wholebean Instant from Kenco. It contains finely-milled wholebeans, with essential coffee oils locked in, for a smooth, full bodied taste and rich aroma; all in an instant. TerraCycle Kenco has teamed up with eco-innovators TerraCycle! Simply return you empty Refill packs to TerraCycle and they can turn them into something else!",https://m.media-amazon.com/images/I/416XHnvxXEL._AC_UL320_.jpg,https://www.amazon.com/Kenco-Millicano-Whole-Instant-Coffee/dp/B008BRZKTA/ref=sr_1_1244?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-1244&ts_id=2251594011&psc=1,,,4.5 ounces,nan,nan,,
B008BSSZJQ,Nescafé Original Classic Instant Coffee - 3.53 oz | Nescafé Clássico Original Café Solúvel - 100g - (PACK OF 01),Nestle,Third Party,False,12.95,True,12.95,Item,3401.0,False,12.8,0,,,0.0,0.0,0.0,0.0,0.0,,,,,12.95 / Item,($12.95 / Item),Ships from and sold by Shine Med/Den Supply CO.,The unmistakeable taste that we all know and love is still as good as ever. Our signature coffee has a medium-dark roast that gives it a full flavor and wonderfully refreshing taste.,https://m.media-amazon.com/images/I/81NhZMzOzIL._AC_UL320_.jpg,https://www.amazon.com/Nescaf%C3%A9-Original-Classic-Instant-Coffee/dp/B008BSSZJQ/ref=sr_1_1583?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-1583&ts_id=2251594011&psc=1,,,12.8 ounces,nan,nan,,
B008CE6HIA,"Goya Foods Nescafe Classico Coffee, 3.5-Ounce",Goya,Third Party,False,12.95,True,3.7,Ounce,5333.0,False,13.6,0,,,0.0,0.0,0.0,0.0,0.0,,,,,3.70 / Ounce,($3.70 / Ounce),Ships from and sold by Shine Med/Den Supply CO.,"Goya Foods Nescafe Classico Coffee, 3.5-Ounce",https://m.media-amazon.com/images/I/611jA5HDpFL._AC_UL320_.jpg,https://www.amazon.com/Goya-Nescafe-Classico-Coffee-3-5-Ounce/dp/B008CE6HIA/ref=sr_1_3395?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-3395&ts_id=2251594011&psc=1,,,13.6 ounces,nan,nan,,
B008D3D81E,"Colcafé Instant Decaf Coffee Jar | Same Great Taste, No Caffeine | Just Add Hot Water | 100% Colombian Coffee | 3 Ounce (Pack of 1)",Colcafé,FBA,False,9.99,True,9.99,Count,637.0,False,12.0,0,4.5,13.0,0.0,0.0,0.17,0.19,0.64,,,,,9.99 / Count,($9.99 / Count),Sold by Cordialsa USA and Fulfilled by Amazon.,"Colombian coffee is known to be the best of the world. ColCafé is served in more than 36 countries, and now can be served in the comfort of your kitchen! Experience the ease of instant mix with the full flavor of Colombia's best coffee. Go ahead, take a moment to smell and savor the warm, soothing comforts of ColCafé Colombian Decaf Coffee Instant Mix. Our instant decaf coffee mix tastes the same as our regular coffee blend, but without the caffeine content! Treat your senses to the wholesome and delicious delights of all of our collections.",https://m.media-amazon.com/images/I/81BSbGeBExL._AC_UL320_.jpg,https://www.amazon.com/COLCAFE-DECAFFEINATED-INSTANT-DESCAFEINADO-INSTANTANEO/dp/B008D3D81E/ref=sr_1_299?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-299&ts_id=2251594011&psc=1,,,12 ounces,nan,nan,,
B008DS7WMA,1963 Frontier Times July - Gold Hill NV; San Timoteo CA,Frontier Times,Third Party,False,6.0,False,,,,False,,0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,Ships from and sold by LPridemore Bookseller.,,https://m.media-amazon.com/images/I/61g8qYmrYGL._AC_UL320_.jpg,https://www.amazon.com/1963-Frontier-Times-July-Timoteo/dp/B008DS7WMA/ref=sr_1_4232?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-4232&ts_id=2251594011&psc=1,,,nan,nan,nan,,
B008EL6U2Y,SUPER Power 5in1 Coffee with Collagen,SUPER,FBA,True,10.99,True,0.71,Ounce,366.0,False,17.6,0,4.5,57.0,0.06,0.0,0.04,0.14,0.77,,,,,0.71 / Ounce,($0.71 / Ounce),Sold by shopcyty and Fulfilled by Amazon.,Super Power 5 in 1 Collagen Coffee,https://m.media-amazon.com/images/I/81-Zxsr1FML._AC_UL320_.jpg,https://www.amazon.com/Super-Power-Collagen-Coffee-20-Count/dp/B008EL6U2Y/ref=sr_1_1030?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-1030&ts_id=2251594011&psc=1,,,1.1 pounds,nan,nan,,
B008EL73MA,SUPER Power 6in1 Tongkat Ali Ginseng Dan Misai Kucing,SUPER,Third Party,False,12.99,True,0.92,Ounce,419.0,False,16.0,0,4.2,54.0,0.05,0.07,0.12,0.15,0.61,,,,,0.92 / Ounce,($0.92 / Ounce),Ships from and sold by shopcyty.,"Super 6 in 1 Power Coffee, 20-Count",https://m.media-amazon.com/images/I/81tRoB9pcTL._AC_UL320_.jpg,https://www.amazon.com/Super-Power-Tongkat-Ginseng-Kucing/dp/B008EL73MA/ref=sr_1_429?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-429&ts_id=2251594011&psc=1,,,1 pounds,nan,nan,,
B008EL7BXQ,"Café El Marino, Instant Coffee, 7.05 Ounce",El Marino,,False,14.89,False,,,2650.0,False,25.6,0,4.6,2.0,0.0,0.0,0.0,0.44,0.56,,,,,,7 ounces,,"About the parent company, Massimo Zanetti Beverage. Massimo Zanetti Beverage is the only completely vertically integrated coffee company in the United States. We have a holistic approach and singular focus on coffee excellence that originates with four generations of coffee expertise, which provides our customers the world’s finest coffees. Our coffees are sourced from strategic alliances with coffee farms located in Costa Rica, Brazil and our own farm in Kauai, Hawaii. This guarantees a continuous flow of quality coffee from the plant to the cup. Our coffees are processed in partnerships with mills in Brazil, Costa Rica and Honduras, as well as at our own mill in Hawaii. These alliances ensure that we efficiently process our coffees, preparing them for trade around the world. Our expertise extends into the world coffee industry as we operate green coffee trading divisions globally. Massimo Zanetti Beverage roasts 150,000 tons of green coffee per year at fourteen state-of-the-art roasting facilities located around the world. Check out all of our brands such as Hawaiian Kauai Coffee, Chock full o'Nuts Coffee, Hill Bros. Coffee, Hills Bros. Cappuccino, MJB Coffee, Chase & Sanborn Coffee, Fegafredo Zanetti, Brodies, SM, Cafe El Marino Coffee, Master Chef Coffee, Krispy Kreme branded coffee, and Reveille Coffee.",https://m.media-amazon.com/images/I/71BI+ZuwjKL._AC_UL320_.jpg,https://www.amazon.com/El-Marino-Instant-Coffee-Ounce/dp/B008EL7BXQ/ref=sr_1_1017?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-1017&ts_id=2251594011&psc=1,,,1.6 pounds,nan,nan,,
B008EL7C08,"ABCafe 3 in 1 Instant Coffee, Strong, 20-Count",ABCafe,FBA,False,16.99,True,1.34,Ounce,1680.0,False,13.6,0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,1.34 / Ounce,($1.34 / Ounce),Sold by The LACOCA Shop and Fulfilled by Amazon.,"ABCafe Instant Coffee 3 in one. ABCAFE is prepared from 100% brazilian coffee, American premium creamer, sugar to ensure a rich and natural coffee experience.",https://m.media-amazon.com/images/I/81Hc-5oaeaL._AC_UL320_.jpg,https://www.amazon.com/ABCafe-Instant-Coffee-Strong-20-Count/dp/B008EL7C08/ref=sr_1_1003?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-1003&ts_id=2251594011&psc=1,,,13.6 ounces,nan,nan,,
B008EL7IBQ,SUPER Ginseng Coffee,SUPER,FBA,True,10.89,True,0.77,Ounce,314.0,False,15.2,4,4.5,96.0,0.05,0.04,0.03,0.12,0.75,,,,,0.77 / Ounce,($0.77 / Ounce),Sold by shopcyty and Fulfilled by Amazon.,SUPER Ginseng Coffee is made with instant coffee and ginseng extract. A perfect balance of great taste and strong vitality in one single cup.,https://m.media-amazon.com/images/I/81AXer0vpuL._AC_UL320_.jpg,https://www.amazon.com/Super-Instant-Coffee-Ginseng-20-Count/dp/B008EL7IBQ/ref=sr_1_515?_encoding=UTF8&c=ts&dchild=1&keywords=Instant+Coffee&qid=1594936799&s=grocery&sr=1-515&ts_id=2251594011&psc=1,,,15.2 ounces,nan,nan,,
